mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004677486419677734,0.000595597868921666,0.0014965534210205078,0.0003121567393054269,gini,3,4,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4}",0.9432995394051407,0.9478309397217403,0.9438716602764367,0.9667021092338227,0.946629049861782,0.9496666596997845,0.008682461878471458,32,0.9520175759775357,0.9509178008809093,0.9514189709766184,0.9461935724409157,0.9512076318321083,0.9503511104216175,0.0021098494106569685
0.006476163864135742,0.002631857038627701,0.0025421619415283204,0.0019096810718435909,gini,3,8,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 8}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.9667021092338227,0.946629049861782,0.9502644938738912,0.008359776891856444,1,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9461935724409157,0.9512076318321083,0.9502953370042964,0.002084416169390986
0.007825326919555665,0.0007710057910608461,0.002679300308227539,0.0013109906381363501,gini,3,16,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 16}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.9667021092338227,0.946629049861782,0.9502644938738912,0.008359776891856444,1,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9461935724409157,0.9512076318321083,0.9502953370042964,0.002084416169390986
0.007264137268066406,0.0016900439578659368,0.0017395973205566405,0.000570967501259181,gini,3,32,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 32}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.9667021092338227,0.946629049861782,0.9502644938738912,0.008359776891856444,1,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9461935724409157,0.9512076318321083,0.9502953370042964,0.002084416169390986
0.00785369873046875,0.0011206527373042695,0.00118865966796875,2.0996867903032805e-05,gini,5,4,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4}",0.9432995394051407,0.9478309397217403,0.9438716602764367,0.9617907066807067,0.9456381315646447,0.9484861955297337,0.006837341337803912,34,0.9520175759775357,0.9511765182988052,0.9514189709766184,0.9464844983118196,0.9517428385693558,0.950568080426827,0.0020615988119298207
0.00959310531616211,0.0016192431317614054,0.002062082290649414,0.0010925313530668163,gini,5,8,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 8}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.9667021092338227,0.946629049861782,0.9502644938738912,0.008359776891856444,1,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9461935724409157,0.9512076318321083,0.9502953370042964,0.002084416169390986
0.007180976867675781,0.002141572318978741,0.001566457748413086,0.0008633089460482027,gini,5,16,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 16}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.9667021092338227,0.946629049861782,0.9502644938738912,0.008359776891856444,1,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9461935724409157,0.9512076318321083,0.9502953370042964,0.002084416169390986
0.0065707206726074215,0.000893851998852314,0.001146554946899414,3.194880128893347e-05,gini,5,32,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 32}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.9667021092338227,0.946629049861782,0.9502644938738912,0.008359776891856444,1,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9461935724409157,0.9512076318321083,0.9502953370042964,0.002084416169390986
0.012651824951171875,0.0020404278912957378,0.0019091129302978515,0.00146251162046728,gini,10,4,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4}",0.9393526173306407,0.9377908212664466,0.9368539751506827,0.9558879114798293,0.9405966317526127,0.9420963913960424,0.007014334801846976,35,0.9537414717845185,0.9526985072063678,0.9526364040933122,0.9494821933213969,0.9539742161708598,0.9525065585152911,0.001604962228629658
0.012595844268798829,0.0023251842665155216,0.0015752792358398437,0.0008144943755956768,gini,10,8,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 8}",0.9432995394051407,0.9478309397217403,0.9468608311469706,0.965703333571722,0.946629049861782,0.9500647387414711,0.007967338455691508,26,0.9520175759775357,0.9509178008809093,0.9511401038900128,0.9464800338650651,0.9512076318321083,0.9503526292891262,0.0019717812920002488
