mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.25159649848937987,0.057339793213333455,0.00216822624206543,0.0005998746653611479,relu,"(64,)",0.001,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (64,), 'mlp__learning_rate_init': 0.001}",0.9286641485600161,0.9411168545945339,0.9396952136965636,0.9589021154877932,0.9372942627574267,0.9411345190192668,0.009879444353401774,17,0.9424224045310884,0.9427193224528368,0.9417449384174177,0.93844907841346,0.9419943452270121,0.9414660178083629,0.0015455936060449031
0.1531452178955078,0.011296411947181579,0.002517986297607422,0.0011452591382187045,relu,"(64,)",0.01,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (64,), 'mlp__learning_rate_init': 0.01}",0.9315966631519808,0.9411168545945339,0.9404369343698481,0.9589021154877932,0.9372942627574267,0.9418693660723166,0.00915633859562047,8,0.9444651169489305,0.9425348749312343,0.942299641462807,0.93844907841346,0.943103789993392,0.9421705003499647,0.0020067248135595375
0.2670749664306641,0.027498051108431582,0.003677177429199219,0.0021675086459896123,relu,"(128,)",0.001,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (128,), 'mlp__learning_rate_init': 0.001}",0.9315966631519808,0.9396241973980678,0.938952716589106,0.9589021154877932,0.9358079654382941,0.9409767316130484,0.009401565835331903,19,0.9446505344217135,0.9412424429573857,0.9408195012712348,0.9380792550009089,0.9418092747258082,0.9413202016754102,0.0021019415457931723
0.18808703422546386,0.026739442951723386,0.002486896514892578,0.0012825421720924373,relu,"(128,)",0.01,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (128,), 'mlp__learning_rate_init': 0.01}",0.9315966631519808,0.9411168545945339,0.9411778890048423,0.9589021154877932,0.9372942627574267,0.9420175569993153,0.009137933678755032,5,0.9448359053213448,0.9423503813263183,0.9424844502354557,0.9379997712672512,0.9429189981873782,0.9421179012675498,0.0022439564226767704
0.2381424903869629,0.02199848529359884,0.0023723602294921874,0.0011083567415271526,relu,"(64, 32)",0.001,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (64, 32), 'mlp__learning_rate_init': 0.001}",0.9293983928583802,0.9396241973980678,0.9404369343698481,0.9589021154877932,0.9380362444094309,0.941279576904704,0.00965076094287411,15,0.9424224045310884,0.9408727542150551,0.9421147866759246,0.9380792550009089,0.9432885359110753,0.9413555472668105,0.0018120846638046927
0.2287583827972412,0.015865111668728577,0.001934957504272461,9.537630039938948e-05,relu,"(64, 32)",0.01,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (64, 32), 'mlp__learning_rate_init': 0.01}",0.9315966631519808,0.940370901505257,0.9411778890048423,0.9589021154877932,0.9372942627574267,0.94186836638146,0.009157489611006724,10,0.944094141636428,0.9423503813263183,0.9416747020622327,0.9382641899091286,0.9432885359110753,0.9419343901690367,0.002010427496586806
0.36997461318969727,0.027342486779762323,0.0029271602630615234,0.0015033130040020303,relu,"(128, 64)",0.001,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (128, 64), 'mlp__learning_rate_init': 0.001}",0.9315966631519808,0.940370901505257,0.9396952136965636,0.9589021154877932,0.9365515066068028,0.9414232800896795,0.009272539871330301,14,0.9450212298095132,0.9412424429573857,0.9411898169063754,0.9382641899091286,0.9421793688776813,0.9415794096920168,0.002166198886224022
0.3422986030578613,0.05770339234350628,0.004999732971191407,0.003925937645900241,relu,"(128, 64)",0.01,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (128, 64), 'mlp__learning_rate_init': 0.01}",0.9315966631519808,0.9411168545945339,0.9411778890048423,0.9589021154877932,0.9380362444094309,0.9421659533297163,0.009065764101002837,2,0.9452065080477633,0.9427193224528368,0.9424844502354557,0.9382641899091286,0.9434732361002968,0.9424295413490963,0.00229076334314638
0.4284823894500732,0.016158702909796232,0.0022118091583251953,7.933458378714289e-05,relu,"(128, 64, 32)",0.001,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (128, 64, 32), 'mlp__learning_rate_init': 0.001}",0.9315966631519808,0.9411168545945339,0.9404369343698481,0.9589021154877932,0.9380362444094309,0.9420177624027174,0.009086735677617457,4,0.9446505344217135,0.9423503813263183,0.9424844502354557,0.9378942735282341,0.9429189981873782,0.9420597275398201,0.0022390400826896
0.39710159301757814,0.06754588951083532,0.003799247741699219,0.0017564724938578752,relu,"(128, 64, 32)",0.01,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (128, 64, 32), 'mlp__learning_rate_init': 0.01}",0.9305649098583902,0.940370901505257,0.9396952136965636,0.9589021154877932,0.9380362444094309,0.941513876991487,0.0093695098783689,12,0.9446505344217135,0.9423503813263183,0.9417449384174177,0.9382641899091286,0.9434770051486221,0.9420974098446401,0.0021588670204706365
0.26275200843811036,0.061082341000114414,0.002033233642578125,2.613528760888262e-05,tanh,"(64,)",0.001,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (64,), 'mlp__learning_rate_init': 0.001}",0.9308646400852365,0.9411168545945339,0.9404369343698481,0.9589021154877932,0.9350636286933328,0.9412768346461489,0.009574959787114336,16,0.9422317825215956,0.9423503813263183,0.9421147866759246,0.9367833978287528,0.9423643458385423,0.9411689388382267,0.002194631587406163
0.17744226455688478,0.03831904874856578,0.003937482833862305,0.0016971463177568858,tanh,"(64,)",0.01,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (64,), 'mlp__learning_rate_init': 0.01}",0.9308646400852365,0.9411168545945339,0.9404369343698481,0.9589021154877932,0.9358079654382941,0.9414257019951412,0.00948254258505403,13,0.9444651169489305,0.9419812552249893,0.942299641462807,0.93844907841346,0.9427341603330242,0.9419858504766422,0.001965399318612545
0.3037235260009766,0.057103222320624515,0.0039555072784423825,0.0020400303886771954,tanh,"(128,)",0.001,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (128,), 'mlp__learning_rate_init': 0.001}",0.9315966631519808,0.9395949796819573,0.938952716589106,0.9589021154877932,0.9343184857735084,0.9406729921368692,0.009583129926285055,20,0.9446505344217135,0.9405028753457703,0.9397030448065767,0.9373390481156543,0.9421793688776813,0.9408749743134793,0.002448303485983459
0.2155519962310791,0.016963990664007087,0.005420207977294922,0.0012734740640221143,tanh,"(128,)",0.01,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (128,), 'mlp__learning_rate_init': 0.01}",0.9315966631519808,0.9411168545945339,0.9419180879596672,0.9589021154877932,0.9380362444094309,0.9423139931206812,0.00905445725494571,1,0.9444651169489305,0.9424540643121595,0.9424844502354557,0.9378187505346169,0.9432885359110753,0.9421021835884476,0.0022631231720465954
0.28718996047973633,0.026472226918038105,0.0031629562377929687,0.0012668416696766322,tanh,"(64, 32)",0.001,"{'mlp__activation': 'tanh', 'mlp__hidden_layer_sizes': (64, 32), 'mlp__learning_rate_init': 0.001}",0.9315966631519808,0.9373475218118258,0.9404369343698481,0.9589021154877932,0.9372942627574267,0.941115499515775,0.009340577181896459,18,0.9435373253184469,0.9362351824335735,0.9421147866759246,0.9377092453303935,0.943103789993392,0.9405400659503462,0.002986019341111355
